LPI.common.name,GBIF.common.name,species,downloader,data.available,geographic.range,hab_spec,IUCN,hab_spec_notes
Atlantic herring,Atlantic herring,Clupea harengus,Gergana,yes,partWorld,1,LC,"benthopelagic, oceanodromous species, forms large schools in coastal waters."
Atlantic horse mackerel,Atlantic horse mackerel / Blue mackerel / Common scad,Trachurus trachurus,John,yes,NA,3,VU,"This is a pelagic, oceanodromous species. It forms large schools in coastal areas with sandy substrate.Juveniles of this species were caught in very shallow waters. found frequently over sandy bottom localities at 100 to 200 m depth, but may occur in deeper water (to about 500 m). It is also pelagic and near surface at times. "
Atlantic mackerel,Atlantic mackerel / Joey / Mackerel,Scomber scombrus,John,yes,NA,3,LC,"This is a pelagic, oceanodromous species. It is abundant in cold and temperate shelf areas, and forms large schools near the surface. They overwinter in deeper waters but move closer to shore in spring when water temperatures range between 11ŒÁ and 14ŒÁC.Œæ"
Atlantic menhaden,Atlantic menhaden,Brevoortia tyrannus,Gergana,yes,partWorld,3,LC,"This pelagic, schooling species usually occurs in shallow coastal waters.  It schools inshore during the summer. In the northern part of its range, adults migrate into deeper waters during winter"
Pollack,Atlantic pollock / Callagh / Coalfish,Pollachius pollachius,John,yes,NA,3,LC,"Pollachius pollachius is a bentho-pelagic species which is mostly found close to the shore over hard bottoms. It usually occurs at 40 to 100 m. depth, but is found down to depths of 200 metres. The tendency of this species to remain close to rocky shores, hard bottoms or wrecks make it difficult to catch with trawls and poorly suited for monitoring by research surveys (Charrier et al. 2006, ICES 2013). It is a major predator of juvenile Atlantic Cod, Gadus morhua (Salvanes et al. 1995). This species has a maximum length of 130 cm and a maximum published weight of 18.1 kg. However, this species has shown declines of maximum body size consistently with abundance over the last century (Genner et al. 2010)."
Atlantic puffin,Atlantic puffin,Fratercula arctica,Gergana,yes,World,4,VU,"The species is exclusively marine, found on rocky coasts and offshore islands (Nettleship et al. 2014). It nests on grassy maritime slopes, sea cliffs and rocky slopes. During the winter it is wide-ranging, found in offshore and pelagic habitats usually in open water regions of breeding range to the edge of the continental shelf. Only infrequently found in open ocean. "
Atlantic salmon,Atlantic salmon,Salmo salar,Gergana,yes,World,2,LC,An anadramous species.
Atlantic wolffish,Atlantic wolffish / Cat-fish,Anarhichas lupus,John,yes,NA,NA,NA,NA
Balearic shearwater,Balearic shearwater,Puffinus mauretanicus,Gergana,yes,partWorld,3,CR,"The Balearic shearwater breeds in caves, burrows and crevices on islets and coastal cliffs in the Balearic Islands. At sea, it has a rather coastal distribution, and tends to select productive shelf areas most often related to oceanographic frontal systems"
Baltic flounder,Baltic flounder,Platichthys flesus,Gergana,yes,Europe,2,LC,"where it is typically found resting on the muddy substrate of estuaries. It has been found at a depth range of 1-100 m. It migrates into the open sea to breed from March to June, during which time it can migrate up to 300 km offshore, although it will more often migrate just 30 km."
Bank vole,Bank vole,Myodes glareolus,Gergana,yes,Europe,6,LC," all kinds of woodland, preferring densely-vegetated clearings, woodland edge, and river and stream banks in forests. It is also found in scrub, parkland, and hedges (Viro and Niethammer 1982, Spitzenberger 1999)."
Bar-tailed godwit,Bar-tailed godwit,Limosa lapponica,Gergana,yes,World,10,NT," breeds in marshy, swampy areas in lowland moss and shrub tundra (Johnsgard 1981, Flint et al. 1984, del Hoyo et al. 1996) near wet river valleys (Johnsgard 1981), lakes and sedge bogs (Flint et al. 1984), as well as on swampy heathlands in the willow and birch zone near the Arctic treeline (Johnsgard 1981), in open larch Larix spp. woodland close to water (del Hoyo et al. 1996), and occasionally on open bogs in the extreme north of the coniferous forest zone (Johnsgard 1981). The nest is a depression positioned on a dry elevated site (del Hoyo et al. 1996) such as a tundra ridge (Johnsgard 1981) or hummock (Flint et al.1984), often between clumps of grass (del Hoyo et al. 1996) or under a thicket (Flint et al. 1984). On passage the species may frequent inland wetlands (Hayman et al. 1986), sandy beaches with pine Pinus spp. stands, swampy lowlands near lakes (Flint et al. 1984) and short-grass meadows, but during the winter it is more common in intertidal areas along muddy coastlines, estuaries, inlets, mangrove-fringed lagoons and sheltered bays (del Hoyo et al. 1996) with tidal mudflats or sandbars (Johnsgard 1981)."
Barnacle goose / Greenland barnacle goose,Barnacle goose / Greenland barnacle goose,Branta leucopsis,Gergana,yes,partWorld,11,LC," breeds in Arctic semi-desert tundra (fjellmark) (Kear 2005a)on crags, rocky outcrops (del Hoyo et al. 1992), cliffs, rocky slopes (Johnsgard 1978) and coastal islands (Svalbard) (Kear 2005a) near wetlands such as lakes, rivers, marshes, the upper parts of fjords, coastlines (Johnsgard 1978), wet meadows and mudflats (Kear 2005a). In years when the snow is slow to melt the species first forages on grassy vegetation on south-facing mountain slopes fertilised by the droppings of cliff-nesting seabirds before moving down to breeding areas (Kear 2005a). It also returns to these slopes after the moulting period before autumn migration (Kear 2005a). After the young hatch families may disperse away from rocky ground to more vegetated areas surrounding tundra lakes and rivers (Kear 2005a). Non-breeding During the non-breeding season the species frequents tidal mudflats, saltmarshes (Johnsgard 1978, Kear 2005a) and adjacent coastal meadows (Johnsgard 1978, del Hoyo et al. 1992) (especially improvedrough pasturesand arable land (del Hoyo et al. 1992, Kear 2005a)), with agricultural fields becoming increasingly more important as winter feeding areas (Scott and Rose 1996)."
Basking shark,Basking shark,Cetorhinus maximus,Gergana,yes,partWorld,4,VU,"surface in good weather conditions, usually singly or in small groups, although it also carries out extensive vertical migrations between the surface and deep water on the continental shelf and shelf-edge (Sims et al. 2003). Basking sharks are often associated with surface aggregations of zooplankton (Kunzlik 1988, Earll and Turner 1993), particularly along tidal and shelf-break fronts (Sims et al. 1997, 2003, Sims and Quayle 1998, Speedie 1998),"
Bean goose,Bean goose,Anser fabalis,John,yes,NA,13,LC,"Habitat¥Ë_Breeding¥Ë_The species breeds near lakes, pools, rivers and streams in high Arctic tundra or the taiga forest zone (del Hoyo¥Ë_et al. 1992). Taiga nesting populations show a preference for scrubby birch¥Ë_Betula¥Ë_spp. forest (Madge and Burn 1988) and dense spruce forest with bogs or mires (Madge and Burn 1988), whereas tundra-based populations nest on damp tundra of moss, grass, sedge or scrub (Johnsgard 1978) near river flood-plains (but above flood levels) (Madge and Burn 1988, Kear 2005a), on Arctic islands and in Arctic coastal regions (Madge and Burn 1988).¥Ë_Non-breeding¥Ë_During the winter and on passage the species inhabits marshes, agricultural land (del Hoyo¥Ë_et al. 1992) (pastures, arable fields, rice-paddies) (Kear 2005a), damp steppe grassland (Madge and Burn 1988), flood-lands, rivers and coastal shallows (Snow and Perrins 1998) in open country (del Hoyo¥Ë_et al. 1992). It also roosts on lakes, rivers and flood-lands in Europe during this season (Kear 2005a)."
Black guillemot,Black guillemot,Cepphus grylle,Gergana,yes,partWorld,14,NT," breeding on wet natural grasslands (Trolliet 2003), meadows and hay meadows (del Hoyo et al. 1996) with short swards (Hayman et al. 1986, Devereux et al. 2004) and patches of bare soil (Johnsgard 1981) at low altitudes (Hayman et al. 1986) (less than 1,000 m) (Snow and Perrins 1998). It will also breed on grassy moors, swampy heaths, bogs and arable fields.  During the winter the species utilises large open pastures for roosting (del Hoyo et al. 1996) and forages on damp grassland, irrigated land (Urban et al. 1986), stubble and ploughed fields (del Hoyo et al. 1996), riverbanks, lake shores, fresh and saline marshes, drainage ditches, estuaries and mudflats"
Black bellied anglerfish,Black-bellied angler / Blackbellied angler / European anglerfish / Black bellied anglerfish,Lophius budegassa,John,yes,NA,3,DD,"Lophius budegassa is a benthic fish with a maximum size of 100 cm, although it is more common at 50 cm and occurs from the shoreline to the continental slope. The larvae of this species are pelagic (Caruso in press). Vakily et al. (2002) describe L. budegassa as bathydemersal with a maximum size of 100 cm SL off of West Africa. In a study off the northern coast Spain, L. budegassa frequently fed on Blue Whiting (Micromesistius poutassou), juveniles fed mainly on small benthic fish, adults fed on larger prey such as the Greater Forkbeard (Phycis blennoides) and the European Hake (Merluccius merluccius). Diet composition changed throughout the year depending on season with a decrease in feeding intensity in autumn and also depending on depth (Preciado et al. 2006)."
Black-billed magpie / Eurasian magpie,Black-billed magpie / Eurasian magpie,Pica pica,Gergana,yes,partWorld,8,LC,"variety of open country, preferably with at least scattered trees (Madge 2009). It is evenly distributed in urban, rural and natural landscapes and frequents parks, gardens, most farmland, heaths, freshwater, wetland, dunes, woodland and forest fringes (Hagemeijer and Blair 1997). "
Black-legged kittiwake,Black-legged kittiwake,Rissa tridactyla,Gergana,yes,partWorld,3,LC," It nests on high, steep coastal cliffs with narrow ledges in areas with easy access to freshwater (del Hoyo et al. 1996). Non-breeding The species moults on sandy beaches (Olsen and Larsson 2003) and on passage it may concentrate at sea on continental shelves, areas of upwelling (del Hoyo et al. 1996) and at rich fish banks (Olsen and Larsson 2003). During the winter the species is highly pelagic, usually remaining on the wing out of sight of land (del Hoyo et al. 1996)."
Black-tailed godwit,Black-tailed godwit,Limosa limosa,Gergana,yes,partWorld,14,NT,"In its breeding range it mostly inhabits areas with high grass and soft soil (del Hoyo et al. 1996, Johnsgard 1981), occasionally using sandy areas. Its preferred habitats include cattle pastures, hayfields (Johnsgard 1981), lowland wet grasslands, grassy marshland, raised bogs and moorland, lake margins and damp grassy depressions in steppes (del Hoyo et al. 1996). Subspecies islandica shows a distinct preference for large patches of dwarf-birch bog and marsh, particularly with abundant sedge-pools (del Hoyo et al. 1996, Gunnarsson et al. 2006). Extensive farmland habitats are of critical importance for breeding Western European populations (del Hoyo et al. 1996). After the young have fledged, adults and fledgelings often move to secondary habitat which more closely resembles that of their non-breeding range, including wet damp areas around fish-ponds and sewage farms, tidal marshes, mud flats and salt-water lagoons (Cramp et al. 1983, Tucker and Heath 1994). Non-breeding Subspecies limosa tends to winter in freshwater habitats, including swampy lake shores, pools, flooded grassland and irrigated rice fields. Subspecies islandica and melanuroides, however, often winter in brackish habitats (del Hoyo et al. 1996) such as sheltered estuaries and lagoons with large intertidal mudflats (Johnsgard 1981), sandy beaches, salt-marshes and salt-flats (del Hoyo et al. 1996). Despite these general differences there is considerable overlap in wintering habitat between sympatric populations of subspecies limosa and islandica (Various 2007).  Seasonally-flooded grassland is a critical habitat for the birds wintering in Ireland (Hayhow 2008). Birds on passage in Iberia make much use of rice fields (Lourení_o et al. 2010). "
Blackbelly rosefish,Blackbelly rosefish / Blue-mouth / Blue-mouth redfish,Helicolenus dactylopterus,John,yes,NA,2,LC,"This is a bathydemersal species that can be found in soft bottom areas of the continental shelf and upper slope, usually between 150-600 m."
Blackcap,Blackcap,Sylvia atricapilla,Gergana,yes,partWorld,11,LC,"breeds in almost any kind of forested area. It prefers broadleaf deciduous forest and mixed woodland, either mature or more open and with denser understorey. In addition it occupies riparian forest, parks and gardens with trees, fruit-tree plantations, orchards, and evergreen woodland. In the winter, it uses more with bushy areas rich in berries and other fruits, such as maquis and garrigue, olive groves, urban gardens and palm plantations. In Africa it is found in a large spectrum of habitats from lowland savanna rich in fruit trees to mangroves, riverside woodland and montane scrub and forest. "
Blonde ray,Blonde ray,Raja brachyura,John,yes,NA,2,NT,"Raja brachyura is most common on sandy sediments in waters down to about 150 m deep (Ellis et al. 2005a) in the Northeast Atlantic, though may occur deeper in the southern parts of its range. In the Mediterranean Sea it is mainly found at depths of 10-150 m to about 300 m (Baino et al. 2001)."
Blue tit,Blue tit,Parus caeruleus,Gergana,yes,Europe,4,LC,"broad-leaved woodland, as well as coppices, parks and gardens. It uses deciduous woodland principally containing oak (Quercus) and birch (Betula) and generally avoids large stands of conifers (Gosler et al. 2013), however in the Canary Islands it also frequents montane conifer woodland. "
Blue whiting,Blue whiting / Couch's whiting,Micromesistius poutassou,John,yes,NA,NA,NA,NA
Boar-fish,Boar fish,Capros aper,John,yes,NA,3,LC," mesopelgic species that is armoured and can occur to depths of 600 m. (Whitehead et al. 1986). This species occurs over rock, coral and sand substrates,"
Bottlenose dolphin,Bottlenose dolphin,Tursiops truncatus,Gergana,yes,partWorld,5,LC,"primarily coastal, but they can also be found in pelagic waters (Wells and Scott 1999). Where distinct ecotypes are known, the inshore form frequents estuaries, bays, lagoons and other shallow coastal regions, occasionally ranging far up into rivers."
Light-bellied brent goose / Dark-bellied brent goose,Brant,Branta bernicla,Claudia,Yes,partWorld,2,LC,breeds in coastal Arctic tundra (del Hoyo et al. 1992) in or close to wet coastal meadows with abundant grassy vegetation (Kear 2005a) and on tundra-covered flats with tidal streams
Tusk / Cusk,Brismak / Cusk / Tusk / Moonfish,Brosme brosme,John,yes,NA,NA,NA,NA
Swordfish,Broad-bill sword-fish / Broadbill / Broadbill swordfish,Xiphias gladius,John,yes,NA,3,LC,"This is an oceanic species, but sometimes found in coastal waters; generally above the thermocline, preferring temperatures of 18äóñ22ŒÁC. It is primarily a warm-water species that migrates toward temperate or cold waters for feeding in the summer and back to warm waters in winter for spawning and overwintering. Adults are opportunistic feeders, known to forage for their food from the surface to the bottom over a wide depth range (Nakamura 1985). Swordfish typically forage in deep water during the day and stay in the mixed layer at night (Abascal et al. 2010). Based on records of forage organisms taken by swordfish, its depth distribution in the northwestern Pacific ranges normally from the surface to a depth of about 550 m but there are depth records down 2,878 m.The distribution of larval swordfish in the Pacific Ocean indicates that spawning occurs mainly in waters with a temperature of 24ŒÁC or more. Spawning appears to occur in all seasons in equatorial waters, but is restricted to spring and summer at higher latitudes (Nishikawa and Ueyanagi 1974). In the Atlantic Ocean, spawning occurs in the upper water layer at depths between 0äóñ75 m, at temperatures around 23ŒÁC, and salinity of 33.8äóñ37.4 ppt. "
Brown long-eared bat,Brown long-eared bat,Plecotus auritus,Gergana,yes,partWorld,9,LC,"deciduous and coniferous woodlands, along hedgerows, and in isolated trees in parks and gardens. It feeds mainly on moths and flies gleaned from foliage. In summer it roosts in colonies in buildings (attics, barns, churches, drainage channels), tree holes, and bat boxes. Solitary animals also roost in underground sites. In winter it hibernates in caves, mines, buildings and occasionally trees. "
Brown trout / Sea trout,Brown trout / Sea trout,Salmo trutta,Gergana,yes,partWorld,3,LC,"Cold streams, rivers and lakes. Spawns in rivers and streams with swift water. Lacustrine populations migrate to tributaries and lake outlets, rarely spawning on stone, wave-washed lake shores. Spawning sites usually characterised by downward movement of water into gravel. Sea and lake trouts forage in pelagic and littoral habitats, sea trouts mostly close to coast, not very far from estuary of natal river. "
Bullfinch / Eurasian bullfinch,Bullfinch / Eurasian bullfinch,Pyrrhula pyrrhula,Gergana,yes,partWorld,9,LC,"inhabits lowland and lower montane deciduous forest and woodlands, thickets and copses, as well as heaths, hedgerows and scrubby areas, parks and the edges of cultivation, including orchards and gardens in towns and cities. It occurs mostly in conifers and mixed and broadleaf forest in Siberia and other parts of Russia. In the Caucasus it favours in pine (Pinus) and tall beech (Fagus) forest, while in northern Europe it prefers conifer forests with well-developed undergrowth of spruce (Picea), cedar (Cedrus), larch (Larix), also birch (Betula) and yew (Taxus)."
Humpback whale,Bunch whale / Humpback whale,Megaptera novaeangliae,John,yes,NA,3,LC,"With few exceptions, such as the Arabian Sea population, humpback whales undertake long migrations between breeding grounds in tropical coastal waters in winter to feeding grounds in middle and high latitudes, mainly in continental shelf waters (Clapham 2002). In the Southern Hemisphere, humpbacks appear to feed mainly in the Antarctic, where the diet consists almost exclusively of krill (Euphausia superba) (Mackintosh 1970), although some feeding in the Benguela Current ecosystem on the migration route west of South Africa has been observed (Best et al. 1995; suspected prey species are: E. lucens and Themisto gaudichaudii)."
Canada goose,Canada goose,Branta canadensis,Gergana,yes,partWorld,4,LC," European range only! This species occurs in a wide diversity of habitats, from tundra to semi-desert and in wooded or open country and is frequently found in agricultural or urban areas in Europe although almost always found near water."
Carrion crow / Hooded crow,Carrion crow / Hooded crow,Corvus corone,Gergana,yes,partWorld,7,LC,"variety of open country, preferably with at least scattered trees (Madge 2009). It is only really absent from dense forests and is found in most other habitats (Hagemeijer and Blair 1997). It prefers mixed farmland, parks and gardens, also forest clearings, and equally at home on moorland and on inshore islands, coastal cliffs and estuarine flats."
Cetti's warbler,Cetti's warbler,Cettia cetti,Gergana,yes,partWorld,6,LC,"This species favours swampy lowland areas with thick cover of reeds and sparse bushes (rarely in uniform reedbeds standing in water), willows (Salix), and brambles (Rubus) or blackthorn (Prunus spinosa). It is also found in overgrown ditches and streams with thick tangles of cover, areas of damp meadows, tall grass stands, hedgerows and overgrown orchards. In non-breeding areas, occurs in variably wet or dry scrub of plains, foothills, valley bottoms, bramble patches, overgrown orchards, and dense cover near water, marshes, swamps and reeds (Clement 2006)"
Chaffinch,Chaffinch,Fringilla coelebs,Gergana,yes,partWorld,11,LC,"inhabits lowland and lower montane deciduous, mixed and conifer woods with a slight preference for beech (Fagus), hornbeam (Carpinus), mature oak (Quercus), spruce (Picea) and pine (Pinus). It also uses forest edges and glades, copses, heaths, edges of tundra and agricultural areas, hedgerows, orchards, parks and gardens. In the Canary Islands it is found in laurel (Lauraceae) forest and areas of dense vegetation and in the Moroccan High Atlas it is also found in Juniperus thurifera (Clement 2016)."
Chiffchaff / Common chiffchaff,Chiffchaff / Common chiffchaff,Phylloscopus collybita,Gergana,yes,partWorld,9,LC,"lowland deciduous forest and woodland with low undergrowth, as well as parks, hedgerows, shelterbelts, overgrown cemeteries, large gardens and reedbeds. In the east of its range it is found in spruce Picea and pine Pinus forests of Siberian taiga. Frequently, it inhabits damp alder Alnus and willow Salix woodland and river valleys and in the south of its range it prefers habitats with at least some tall trees but, exceptionally, breeds in coastal scrub lacking tall trees."
Cirl bunting,Cirl bunting,Emberiza cirlus,Gergana,yes,partWorld,6,LC,"bushes and small woodlands, surrounded by open landscape. It also occupies forest edges and orchards. The highest densities are reached in small-scale heterogeneous, extensively managed farmland in a sunny climate. In winter it requires fallow fields or stubble fields with weeds (Hagemeijer and Blair 1997, Brambilla et al. 2008, Copete 2016)."
Coal tit,Coal tit,Parus ater,Hannah,Yes,partWorld,5,LC,"conifer forests of various compositions and structure (Hagemeijer and Blair 1997). It uses spruce (Picea), mixed forest often dominated by birch (Betula) and in pine (Pinus) and larch (Larix) in Siberia. In Europe it is often found in conifer plantations and in urban and suburban areas with small numbers of conifers. Outside the breeding season it uses similar habitats, but is also more frequently found in deciduous woodland, parks and gardens. "
Common blackbird / Eurasian blackbird,Common blackbird / Eurasian blackbird,Turdus merula,Hannah,Yes,partWorld,7,LC,"open broadleaf, coniferous, mixed and deciduous forests but it is also found in tree plantations, orchards, farmland, gardens and parks and commonly in open grassy areas so long as vegetation cover is within a short distance."
Common buzzard,Common buzzard,Buteo buteo,Hannah,Yes,partWorld,3,LC,"wide variety of habitats but requires at least some tree cover for nesting and roosting; ideal habitat appears to be forest edge, or mosaics of forest and open areas (del Hoyo et al. 1994)."
Common cuckoo / Eurasian cuckoo,Common cuckoo / Eurasian cuckoo,Cuculus canorus,Hannah,Yes,partWorld,9,LC,"forests and woodlands, both coniferous and deciduous, second growth, open wooded areas, wooded steppe, scrub, heathland, meadows, reedbeds, lowlands and moorlands. "
Common eider,Common eider,Somateria mollissima,Hannah,Yes,partWorld,10,NT,"areas free of mammalian predators (Waltho and Coulson 2015), including coastal islands and islets (Kear 2005) along low-lying rocky coasts (del Hoyo et al. 1992), on coastal shores and spits, on islets in brackish and freshwater lagoons (Kear 2005), coastal lakes and rivers (Johnsgard 1978, Kear 2005) or on tundra pools close to the coast (del Hoyo et al. 1992). They use a wide range of nesting habitats, including bare ground, shingle, grassland, scrub, under trees and in derelict buildings (Waltho and Coulson 2015). "
Common goby,Common goby,Pomatoschistus microps,Hannah,Yes,NA,2,LC,This is a benthic species typically found in the intertidal zone in rockpools and on rocky substrates. It has been collected at depths from 1-24 m.
Common goldeneye,Common goldeneye,Bucephala clangula,John,yes,NA,8,LC," The species is restricted to water close to the shore and less than 10 m deep (Scott and Rose 1996) (showing a preference for waters 4 m deep) (Snow and Perrins 1998). Breeding When breeding the species shows a preference for oligotrophic lakes devoid of fish (Kear 2005b) but with abundant invertebrate life (Johnsgard 1978), and requires tree-holes (or artificial nestboxes) for nesting (del Hoyo et al. 1992). Suitable habitats include freshwater lakes, pools, rivers (del Hoyo et al. 1992) and deep marshes (Johnsgard 1978) surrounded by coniferous forest (del Hoyo et al. 1992). Non-breeding The species winters mainly at sea (Scott and Rose 1996) on inshore waters (del Hoyo et al. 1992), shallow bays (Kear 2005b), estuaries (del Hoyo et al. 1992) and coastal lagoons (del Hoyo et al. 1992, Scott and Rose 1996), especially in the vicinity of sewage outfalls (del Hoyo et al. 1992). Further to the south and on migration the species may also frequent large rivers, lakes (Scott and Rose 1996, Kear 2005b) and reservoirs (Scott and Rose 1996). "
Common kestrel,Common kestrel,Falco tinnunculus,Hannah,Yes,World,2,LC," tolerates a wide range of open and partially forested habitats, and has been recorded up to 4,500 m "
Common Lizard / Viviparous Lizard,Common Lizard / Viviparous Lizard,Zootoca vivipara,Hannah,Yes,Europe,10,LC,"including grassland, meadows, humid scrubland, hedgerows, open woodland, woodland edges, peat bogs, stream edges, coastal areas (sea cliffs and sand dunes) and rural gardens"
Common merganser / Goosander,Common merganser,mergus merganser,John,yes,NA,6,LC,"Breeding The species breeds on large clear freshwater lakes (del Hoyo et al. 1992, Kear 2005b), pools (del Hoyo et al. 1992), the upper reaches of rivers (del Hoyo et al. 1992, Kear 2005b) and streams (Kear 2005b) in the boreal, montane (Kear 2005b) and temperate forest zones (Johnsgard 1978). It requires waters with a fairly high productivity of fish (Kear 2005b) surrounded by mature hard-wood trees with holes excavated by woodpeckers or natural cavities for nesting in (Kear 2005b). Non-breeding The species winters on large unfrozen lakes, rivers, lagoons, brackish waters and marshes (Madge and Burn 1988, del Hoyo et al. 1992), generally avoiding highly saline waters (Madge and Burn 1988) although it may move to estuaries, coastal lagoons and sheltered sea coasts with waters less than 10 m deep in particularly harsh winters (Scott and Rose 1996). "
Common moorhen / Moorhen,Common moorhen / Moorhen,Gallinula chloropus,Hannah,Yes,World,13,LC,"freshwater wetlands, both still and moving, requiring easy access to open water (del Hoyo et al. 1996) and showing a preference for waters sheltered by woodland, bushes or tall emergent vegetation (del Hoyo et al. 1996, Taylor and van Perlo 1998). Suitable habitats include slow-flowing rivers (del Hoyo et al. 1996, Taylor and van Perlo 1998), oxbow lakes (Taylor and van Perlo 1998), streams, canals, ditches, lakes, reservoirs, sites with small open water surfaces such as pools and ponds only a few metres across, swamps, marshes (del Hoyo et al. 1996, Taylor and van Perlo 1998), seasonally flooded sites (del Hoyo et al. 1996) such as flood-plains (Taylor and van Perlo 1998), disused gravel pits, rice-fields (del Hoyo et al. 1996, Taylor and van Perlo 1998), sewage ponds (Taylor and van Perlo 1998), and occasionally seashores (Azerbaijan) (Taylor and van Perlo 1998). It generally avoids very open sites (especially those exposed to wind or wave action) (del Hoyo et al. 1996, Taylor and van Perlo 1998) and oligotrophic or saline habitats (although it may be found on brackish waters) (del Hoyo et al. 1996, Taylor and van Perlo 1998). When foraging the species may range onto drier grassland, agricultural land or meadows, and on migration and in the winter months it can often be observed on damp grassland away from water (Taylor and van Perlo 1998). "
