"","X","species","biome","system","Country.list","Class","lengthyear","Decimal.Latitude","Decimal.Longitude","id","n","intercept","slope","intercept_se","slope_se","intercept_p","slope_p","Red.List.status"
"13",13,"Acanthiza uropygialis","Temperate grasslands savannas and shrublands","Terrestrial","Australia","Aves",28,-34.35,143.95,8723,27,70.6983323541374,-0.0357170129175933,15.4436666649526,0.00775667017088274,9.47025737157716e-05,8.81136673335258e-05,"LC"
"14",14,"Acanthopagrus berda","Montane freshwaters","Freshwater","South Africa","Actinopterygii",15,-26.96667,32.83333,5579,14,165.215546218487,-0.0831932773109243,61.71931501156,0.031038043333457,0.0180551798954255,0.0179327341310354,"LC"
"15",15,"Acanthopagrus berda","Tropical and subtropical coastal rivers","Freshwater","South Africa","Actinopterygii",13,-28.38333,32.40306,9351,12,35.4662480376593,-0.0180533751962237,70.5270045511499,0.0353961657280332,0.624154293516359,0.619275802690219,"LC"
"16",16,"Acanthophis praelongus","Tropical and subtropical grasslands savannas and shrublands","Terrestrial","Australia","Reptilia",11,-12.516667,131.333333,17698,9,-230.933368522365,0.115006054584404,68.6126889062387,0.0342424760372691,0.00831285017577563,0.00840812273329249,NA
"17",17,"Acanthurus achilles","Tropical coral","Marine","United States","Actinopterygii",14,19.688963,-156.048781,17570,13,25.0480663835669,-0.0125231380662027,72.4431180043354,0.0361131355835672,0.735052958082758,0.734309211161478,"LC"
"18",18,"Acanthurus achilles","Tropical coral","Marine","United States","Actinopterygii",14,19.688963,-156.048781,17559,13,246.209126871605,-0.122856332779775,49.5591098444397,0.0247053813049025,0.000257108235305021,0.000254901547429939,"LC"
"19",19,"Acanthurus achilles","Tropical coral","Marine","United States","Actinopterygii",14,19.688963,-156.048781,17571,13,150.283851273243,-0.0750244099525254,70.8654917241199,0.0353266836288873,0.0537528066525206,0.0534561752667128,"LC"
"20",20,"Acanthurus bahianus","Tropical coral","Marine","Panama","Actinopterygii",12,9.566667,-78.966667,11533,9,21.1983039791264,-0.0107166154132888,125.856454638022,0.0634094657794758,0.869967553140855,0.869528944130987,"LC"
"21",21,"Acanthurus chirurgus","Tropical coral","Marine","Panama","Actinopterygii",12,9.566667,-78.966667,11532,9,-225.268796992478,0.113587540279268,102.538561186965,0.0516613582144976,0.0556194086523395,0.0554585194229969,"LC"
"22",22,"Acanthurus coeruleus","Tropical coral","Marine","Panama","Actinopterygii",12,9.566667,-78.966667,11531,9,-332.418666666663,0.167401360544216,71.039452080809,0.0357913602338987,0.0011532582817421,0.00115685909759426,"LC"
"23",23,"Acanthurus dussumieri","Tropical coral","Marine","Australia","Actinopterygii",6,-21.644749,152.537758,14913,5,432.174789915968,-0.216806722689077,219.042396361311,0.109795632225829,0.105515804156748,0.105297434163044,"LC"
"24",24,"Acanthurus dussumieri","Tropical coral","Marine","Australia","Actinopterygii",6,-23.387282,152.010056,14894,5,665.909714285676,-0.333714285714267,45.9633754551792,0.0230392743649966,2.82728562539335e-05,2.83039552395519e-05,"LC"
"25",25,"Acanthurus nigrofuscus","Tropical coral","Marine","Australia","Actinopterygii",6,-23.387282,152.010056,14893,5,-664.022959183633,0.332725947521846,71.9667948606052,0.0360735632564617,0.00025112430500324,0.000251546776694279,"LC"
"26",26,"Acanthurus nigrofuscus","Tropical coral","Marine","Australia","Actinopterygii",6,-21.644749,152.537758,14912,5,490.753818508532,-0.246181491464509,195.793061234904,0.0981418360135954,0.0540592327026305,0.0539316561526147,"LC"
"27",27,"Accipiter cooperii","Boreal forests/taiga","Terrestrial","Canada","Aves",41,52.941847,-73.107078,18149,40,61.2371832115861,-0.030905457849376,5.32709287490774,0.0026721817952292,2.9913305068883e-14,2.47731978461587e-14,"LC"
"28",28,"Accipiter cooperii","Boreal forests/taiga","Terrestrial","Canada","Aves",44,55.443204,-97.404876,13763,43,-92.1241376980509,0.0461741157393332,4.22098616445502,0.00211892392501119,6.88495723322006e-25,7.32189789840919e-25,"LC"
"29",29,"Accipiter cooperii","Temperate broadleaf and mixed forests","Terrestrial","United States","Aves",37,34.11667,-118.08333,8544,36,-67.359631764832,0.0337913641654925,9.30586401403584,0.00467976993508047,1.60172265940201e-08,1.68895864630235e-08,"LC"
"30",30,"Accipiter cooperii","Temperate broadleaf and mixed forests","Terrestrial","Canada","Aves",30,42.033333,-83.05,17878,28,-56.160299697254,0.0282178974116074,17.7820879042819,0.00893907499872614,0.00378368357484331,0.00379858414175582,"LC"
"31",31,"Accipiter cooperii","Temperate broadleaf and mixed forests","Terrestrial","Canada","Aves",44,60,-98,3680,43,-80.2010715854197,0.0401054018445324,5.30696823445898,0.00266408406072598,8.23798371493019e-19,9.47948460439164e-19,"LC"
"32",32,"Accipiter cooperii","Temperate broadleaf and mixed forests","Terrestrial","United States","Aves",37,36.29417,-87.08806,8543,36,-95.1891020919745,0.0476765084265292,5.98220154359331,0.00300835332292361,7.2457705456484e-18,8.2307356584443e-18,"LC"
"33",33,"Accipiter cooperii","Temperate coniferous forests","Terrestrial","Canada","Aves",44,56.159482,-125.441985,13762,43,43.8805320283582,-0.0222849614153963,10.2120934202479,0.00512644397056594,9.72576789454325e-05,8.30268721332707e-05,"LC"
"34",34,"Accipiter cooperii","Boreal forests/taiga","Terrestrial","Canada","Aves",44,55.410147,-105.758445,13764,43,-75.287411666068,0.0376092945262907,5.16782501195668,0.0025942345299111,3.09704076314278e-18,3.69262869391679e-18,"LC"
"35",35,"Accipiter cooperii","Boreal forests/taiga","Terrestrial","Canada","Aves",44,51.433288,-87.125633,18148,43,-74.3563592446203,0.0373012736056215,4.15657928560512,0.00208659184165124,1.54911128129523e-21,1.58975896601932e-21,"LC"
"36",36,"Accipiter gentilis","Temperate broadleaf and mixed forests","Terrestrial","United Kingdom","Aves",30,54,-2,266,5,-145.312467532465,0.0730909090909081,25.6021932552108,0.0128976666896816,0.00236369753383217,0.00237995765594169,"LC"
"37",37,"Accipiter gentilis","Temperate broadleaf and mixed forests","Terrestrial","Canada","Aves",29,42.033333,-83.05,17882,27,-69.8776932787629,0.0351292834927583,26.1649202717601,0.0131496707917049,0.0126651281604232,0.0126404468183683,"LC"
"38",38,"Accipiter gentilis","Temperate grasslands savannas and shrublands","Terrestrial","Romania","Aves",5,45.25722,28.19361,10539,4,744.661904761987,-0.371428571428612,227.168727767033,0.113329331662055,0.0305578151901366,0.030574658324556,"LC"
"39",39,"Accipiter gentilis","Temperate coniferous forests","Terrestrial","Canada","Aves",40,55.142948,-114.807219,14558,39,75.4948606271788,-0.0380444250871085,4.18284067376777,0.00209978257373411,1.56184127527267e-20,1.36538864921938e-20,"LC"
"40",40,"Accipiter gentilis","Temperate broadleaf and mixed forests","Terrestrial","Germany","Aves",24,52.16667,8.41667,4899,23,-31.7948717948718,0.0158974358974359,29.2174440083731,0.0147042031221599,0.287772169584286,0.29083707639079,"LC"
"41",41,"Accipiter gentilis","Boreal forests/taiga","Terrestrial","Canada","Aves",28,52.941847,-73.107078,18152,27,-86.6589256392211,0.0431151771053249,16.7524020683383,0.00837612774337204,1.91417675061911e-05,2.04997227072007e-05,"LC"
"42",42,"Accipiter gentilis","Boreal forests/taiga","Terrestrial","Canada","Aves",44,60,-98,3681,43,6.56964207290295,-0.00363965744400527,8.27774801835045,0.00415540767913447,0.431756674183496,0.38595955796299,"LC"
"43",43,"Accipiter gentilis","Boreal forests/taiga","Terrestrial","Canada","Aves",44,55.410147,-105.758445,18153,43,12.782753725322,-0.00678248613536784,9.52340126701986,0.00478072232553163,0.186560250230249,0.16318977626659,"LC"
"44",44,"Accipiter gentilis","Temperate broadleaf and mixed forests","Terrestrial","Canada","Aves",44,46.666605,-66.291594,18151,43,-93.8183355292053,0.0470708639186901,2.12178393703312,0.00106512994184722,1.75148842325548e-37,1.79218695665706e-37,"LC"
"45",45,"Accipiter gentilis","Boreal forests/taiga","Terrestrial","Canada","Aves",11,48.15,-69.666667,17881,10,112.164476712282,-0.0560776802815194,100.761131507064,0.0503930889423472,0.291676442002944,0.291826728291024,"LC"
"46",46,"Accipiter gentilis","Temperate coniferous forests","Terrestrial","Canada","Aves",44,56.159482,-125.441985,18150,43,-86.2524117667637,0.0431261440880526,4.13863662452172,0.00207758467309709,4.23682767962625e-24,4.95375498260167e-24,"LC"
"47",47,"Accipiter gentilis","Temperate broadleaf and mixed forests","Terrestrial","Norway","Aves",22,59.06667,10,2706,21,-44.926475514169,0.0223420647149461,29.7730069057128,0.0149838153023929,0.146206610361188,0.150809796400058,"LC"
"48",48,"Accipiter gentilis","Temperate broadleaf and mixed forests","Terrestrial","Canada","Aves",44,45.290147,-62.735984,14559,43,-59.6839481774265,0.0298418972332016,4.59330269005367,0.00230582583916846,1.73820557647845e-16,1.99417737566082e-16,"LC"
"49",49,"Accipiter nisus","Temperate broadleaf and mixed forests","Terrestrial","Switzerland","Aves",19,46.86667,8.18333,10968,18,-66.6006804969243,0.0332570093304825,49.7801838508729,0.0248962124780128,0.197589066971183,0.198251571110434,"LC"
"50",50,"Accipiter nisus","Temperate broadleaf and mixed forests","Terrestrial","Netherlands","Aves",24,52.18333,5.8,10944,23,-117.578657937807,0.0590180032733224,28.0087434494166,0.0140323450220218,0.000343805669707668,0.00033708165252876,"LC"
"51",51,"Accipiter nisus","Temperate broadleaf and mixed forests","Terrestrial","France","Aves",20,46.31667,2.16667,10928,19,75.1573339255324,-0.037944120913622,27.2022917387076,0.0136078874125189,0.0123833868944483,0.0117160654500736,"LC"
"52",52,"Accipiter nisus","Temperate broadleaf and mixed forests","Terrestrial","Norway","Aves",22,59.06667,10,2750,21,-19.7302224057564,0.00985192614005003,32.0096901824842,0.0161094674481512,0.544266453613139,0.547392274444862,"LC"
"53",53,"Accipiter nisus","Temperate broadleaf and mixed forests","Terrestrial","Belgium","Aves",18,50.85,4.35,11002,17,149.546264190383,-0.0747722150627966,36.024444656311,0.0180031532735594,0.000668416931546573,0.000665477063675248,"LC"
"54",54,"Accipiter nisus","Temperate broadleaf and mixed forests","Terrestrial","United Kingdom","Aves",30,54,-4,267,29,-137.645991815119,0.0693428021184404,8.84118112321983,0.00444499332938753,1.28127431505826e-15,1.21572477722064e-15,"LC"
"55",55,"Accipiter nisus","Temperate broadleaf and mixed forests","Terrestrial","Denmark","Aves",33,56,9,10940,32,11.8234942879975,-0.00593942906316142,16.6703967774302,0.00836647161989791,0.483304724814596,0.482902377147783,"LC"
"56",56,"Accipiter nisus","Boreal forests/taiga","Terrestrial","Sweden","Aves",35,63,16,10961,34,-21.2647413620719,0.0106526708580097,15.4212207426831,0.00773952880908393,0.176921907220783,0.177696232582305,"LC"
"57",57,"Accipiter nisus","Temperate broadleaf and mixed forests","Terrestrial","United Kingdom","Aves",9,55.16667,-3.16667,5949,8,369.81702127659,-0.187234042553189,108.466840123585,0.0549059607571066,0.00923004113477092,0.00922197107215344,"LC"
"58",58,"Accipiter nisus","Temperate broadleaf and mixed forests","Terrestrial","Czech Republic","Aves",28,49.8,15.26667,10988,27,67.8061646550716,-0.0340015448773046,20.3186459090248,0.0101795928907482,0.00247638013468964,0.0024574254064754,"LC"
"59",59,"Accipiter nisus","Temperate broadleaf and mixed forests","Terrestrial","United Kingdom","Aves",9,55.25,-3.41667,5950,8,485.632282003707,-0.245887445887444,35.2800886718197,0.0178587959409077,7.48714784723279e-07,7.47303515350301e-07,"LC"
"60",60,"Accipiter nisus","Temperate grasslands savannas and shrublands","Terrestrial","Romania","Aves",5,45.25722,28.19361,10540,4,-163.509578966747,0.0814120242691798,362.110960480051,0.180648954378943,0.674996289937529,0.675580128971043,"LC"
"61",61,"Accipiter nisus","Temperate broadleaf and mixed forests","Terrestrial","United Kingdom","Aves",5,51.29167,-0.38361,5948,4,-676.619047619067,0.342857142857153,426.729558502549,0.216339365554301,0.188014107805848,0.188187159830813,"LC"
"62",62,"Accipiter striatus","Temperate broadleaf and mixed forests","Terrestrial","Canada","Aves",40,45.290147,-62.735984,18146,39,79.3213231786073,-0.0398271721011733,5.27382017922071,0.00264479806096612,7.97663861555877e-18,7.66248030263755e-18,"LC"
"63",63,"Accipiter striatus","Boreal forests/taiga","Terrestrial","Canada","Aves",44,55.443204,-97.404876,13766,43,-82.4142810490638,0.0413094152224588,3.98597001069818,0.0020009464354963,5.7816501419959e-24,6.13325345258984e-24,"LC"
"64",64,"Accipiter striatus","Boreal forests/taiga","Terrestrial","Canada","Aves",40,52.941847,-73.107078,18147,39,74.7152377680741,-0.0376587685759803,4.37002043487448,0.00219154638948008,1.02439943987434e-19,8.60667003776591e-20,"LC"
"65",65,"Accipiter striatus","Boreal forests/taiga","Terrestrial","Canada","Aves",11,48.15,-69.666667,17875,10,28.8773068423584,-0.0144785284645507,114.361656181765,0.0571950416332688,0.805762351936627,0.805285633859104,"LC"
"66",66,"Accipiter striatus","Temperate coniferous forests","Terrestrial","Canada","Aves",38,56.159482,-125.441985,18143,37,81.2934472934487,-0.0409356725146206,5.29899023018204,0.00265609318818759,1.27815035396362e-17,1.10271255687512e-17,"LC"
"67",67,"Accipiter striatus","Temperate coniferous forests","Terrestrial","Canada","Aves",44,55.142948,-114.807219,13765,43,-88.7954655248136,0.0444993412384718,3.25822992578582,0.00163562283171482,9.24276098018888e-29,9.90514677863069e-29,"LC"
"68",68,"Accipiter striatus","Boreal forests/taiga","Terrestrial","Canada","Aves",44,51.433288,-87.125633,13767,43,-87.1060378901461,0.0436690745536324,2.20445328991692,0.00110662973901922,1.96821280764575e-35,2.08054858456801e-35,"LC"
"69",69,"Accipiter striatus","Temperate broadleaf and mixed forests","Terrestrial","Canada","Aves",40,46.666605,-66.291594,18144,39,79.3213231786073,-0.0398271721011733,5.27382017922071,0.00264479806096612,7.97663861555877e-18,7.66248030263755e-18,"LC"
"70",70,"Accipiter striatus","Boreal forests/taiga","Terrestrial","Canada","Aves",44,53.003392,-60.79843,18145,43,79.1952207856184,-0.0397777462264339,4.28272604552716,0.00214991718251882,4.37195474355248e-22,4.28047033729211e-22,"LC"
"71",71,"Accipiter striatus","Boreal forests/taiga","Terrestrial","Canada","Aves",44,60,-98,3682,43,-89.2409017713368,0.04472049689441,2.4034755027678,0.00120653836510514,2.65273672060282e-34,2.85334626970311e-34,"LC"
"72",72,"Acinonyx jubatus","Tropical and subtropical grasslands savannas and shrublands","Terrestrial","Tanzania, United Republic Of","Mammalia",24,-2.33333,34.58333,28,23,-108.779869621903,0.0548370273794002,19.576815078229,0.00987723789527403,1.18567621682841e-05,1.19937269767858e-05,"VU"
"73",73,"Acipenser fulvescens","Large lakes","Freshwater","Canada","Actinopterygii",15,50.17389,-95.62111,7744,14,149.927794117647,-0.0753308823529412,42.3780805390557,0.0212261295155074,0.00327903093740692,0.00320748563932958,"LC"
"74",74,"Acipenser gueldenstaedtii","Unknown","Marine","Russian Federation, Ukraine","Actinopterygii",6,46,37,7774,5,403.016332538873,-0.201247721856146,230.410654443333,0.1150327207104,0.140681445615933,0.140616113899825,"CR"
"75",75,"Acipenser gueldenstaedtii","Temperate floodplain rivers and wetlands","Freshwater","Romania","Actinopterygii",6,45,28,7776,5,501.421428571428,-0.250571428571428,188.70531471157,0.0942112933806316,0.0450369143063448,0.0449014290013402,"CR"
"76",76,"Acipenser medirostris","Unknown","Marine","United States","Actinopterygii",24,38.05,-122.38333,7703,8,-24.8049254759796,0.0126110308762581,62.0921663235389,0.0312395576519312,0.699988473412287,0.697017600590522,"NT"
"77",77,"Acipenser medirostris","Temperate coastal rivers","Freshwater","United States","Actinopterygii",19,41.53306,-124.015,7704,18,53.5606381170312,-0.0269369074861063,39.0629776509995,0.0195950911643071,0.187186635110483,0.186104884308686,"NT"
"78",78,"Acipenser nudiventris","Temperate floodplain rivers and wetlands","Freshwater","Russian Federation, Kazakhstan","Actinopterygii",9,51.76667,55.1,7746,7,268.463513513519,-0.134640366172627,120.171682649137,0.0602195937215393,0.0606120952616166,0.0604492453067896,"CR"
"79",79,"Acipenser oxyrinchus","Temperate coastal rivers","Freshwater","Canada","Actinopterygii",6,47.78333,-69.665,9347,5,395.055238095265,-0.198095238095252,226.663757967681,0.113502075260453,0.14181157192865,0.141375926858274,"NT"
"80",80,"Acipenser oxyrinchus","Temperate coastal rivers","Freshwater","United States","Actinopterygii",10,36.03472,-76.26806,9533,9,-162.597632135304,0.0811416490486243,103.579804506486,0.0518936245052698,0.150912671899501,0.152345669629824,"NT"
"81",81,"Acipenser oxyrinchus","Temperate coastal rivers","Freshwater","Canada","Actinopterygii",6,47.26306,-70.42472,9346,5,91.7943722944074,-0.0460729746444208,319.281184150479,0.159880332513773,0.785261958636385,0.784778920364611,"NT"
"82",82,"Acipenser ruthenus","Temperate floodplain rivers and wetlands","Freshwater","Romania","Actinopterygii",6,45,28,7777,5,-190.877376075582,0.0950321867481536,274.863112983204,0.137225649507299,0.51834154807411,0.519448363400743,"VU"
"83",83,"Acipenser sinensis","Temperate floodplain rivers and wetlands","Freshwater","China","Actinopterygii",9,30.73972,111.27222,7707,8,-12.6791589362999,0.00643166357451975,145.448747065893,0.0731448807302922,0.932676720490701,0.932093179097675,"CR"
"84",84,"Acipenser stellatus","Large lakes","Freshwater","Russian Federation, Azerbaijan, Iran, Islamic Republic Of, Kazakhstan, Turkmenistan","Actinopterygii",29,40,51,7747,9,130.671626113572,-0.065867658949282,10.3306789478085,0.00520454680451514,4.91055628172782e-07,4.88767167230996e-07,"CR"
"85",85,"Acipenser stellatus","Temperate floodplain rivers and wetlands","Freshwater","Romania","Actinopterygii",6,45,28,7778,5,193.527844155869,-0.0967792207792331,345.432026174692,0.172457241126207,0.599481837903372,0.598894217889608,"CR"
"86",86,"Acipenser stellatus","Unknown","Marine","Russian Federation, Ukraine","Actinopterygii",6,46,37,7775,5,353.685681965053,-0.176632191338054,251.128910349374,0.125376328088298,0.218056154385045,0.217935495392182,"CR"
"87",87,"Acipenser transmontanus","Temperate upland rivers","Freshwater","United States, Canada","Actinopterygii",22,48.863333,-116.406111,819,18,160.761453524687,-0.0810047510802022,21.4184075024566,0.0107656581838329,6.00359594554067e-07,5.80107071436067e-07,"LC"
"88",88,"Acipenser transmontanus","Temperate upland rivers","Freshwater","Canada","Actinopterygii",14,49.165606,-117.721311,13333,10,-290.79078339155,0.145449778559385,62.0398007418077,0.0310703007044762,0.000858122406818815,0.000865786600899963,"LC"
"89",89,"Acridotheres tristis","Temperate broadleaf and mixed forests","Terrestrial","Australia","Aves",13,-38.1,145.11667,8617,26,61.7272580832193,-0.0310088445681811,58.1175505956807,0.0290514534385248,0.297951880811493,0.295612830451333,"LC"
"90",90,"Acridotheres tristis","Temperate broadleaf and mixed forests","Terrestrial","Australia","Aves",17,-38.08333,145.1,8616,34,-194.748238860622,0.0974111926522879,19.6477821528442,0.00983123139720137,1.46227751623458e-11,1.47599579875344e-11,"LC"
"91",91,"Acris crepitans","Temperate floodplain rivers and wetlands","Freshwater","United States","Amphibia",21,43.06917,-89.40861,4824,19,-99.9534812958655,0.0501431895471631,38.8341471107453,0.0194661104311829,0.0185925714485441,0.0185109893037556,"LC"
"92",92,"Acrocephalus arundinaceus","Temperate floodplain rivers and wetlands","Freshwater","Slovenia","Aves",18,46.33333,14.43333,6859,36,17.1192982456176,-0.0087719298245632,31.5577229709011,0.0158580921797836,0.590833530772188,0.583578643799197,"LC"
"93",93,"Acrocephalus arundinaceus","Temperate floodplain rivers and wetlands","Freshwater","Spain","Aves",12,37,-6.41667,6587,24,-75.8316946211708,0.0375939849624072,55.8913150731393,0.0279456086317973,0.187479629763876,0.191116881406004,"LC"
"94",94,"Acrocephalus arundinaceus","Temperate coastal rivers","Freshwater","Spain","Aves",6,42.2,3.11667,6957,10,-756.250310559045,0.377639751552815,87.6666589516294,0.0437749416358214,6.04810595686454e-06,6.04549793215608e-06,"LC"
"95",95,"Acrocephalus arundinaceus","Temperate coastal rivers","Freshwater","Italy","Aves",7,43.83139,10.33278,6992,12,501.74058096063,-0.251509922346867,40.7701861154833,0.020434707453891,3.6491995314133e-08,3.64448949438018e-08,"LC"
"96",96,"Acrocephalus australis","Temperate coastal rivers","Freshwater","Australia","Aves",17,-38.03333,145.1,8591,34,-128.144316581316,0.0641003173861399,26.6200909424181,0.0133199906143896,2.99068562594183e-05,3.00386958132949e-05,"LC"
"97",97,"Acrocephalus australis","Temperate coastal rivers","Freshwater","Australia","Aves",14,-38.1,145.11667,8605,28,31.5781858062639,-0.0157715983867519,45.5287980004828,0.0227529694518471,0.493655344376282,0.493915119713174,"LC"
"98",98,"Acrocephalus melanopogon","Temperate coastal rivers","Freshwater","Italy","Aves",7,43.83139,10.33278,6990,14,-427.482183908045,0.214367816091954,115.051670246717,0.0576555221263949,0.00230518076614362,0.00229374663411216,"LC"
"99",99,"Acrocephalus schoenobaenus","Temperate floodplain rivers and wetlands","Freshwater","United Kingdom","Aves",7,51.16667,-2.86667,5110,14,-416.822916666663,0.208333333333332,132.665863953765,0.0663163093903483,0.00720673220094577,0.00721232810462172,"LC"
"100",100,"Acrocephalus schoenobaenus","Temperate floodplain rivers and wetlands","Freshwater","Spain","Aves",12,37,-6.41667,6585,24,-97.7611336032434,0.0485829959514192,54.3319036226383,0.0271659042710282,0.0845532375694002,0.0863472138625626,"LC"
"101",101,"Acrocephalus scirpaceus","Temperate coastal rivers","Freshwater","Italy","Aves",7,43.83139,10.33278,6991,14,-582.664343786291,0.292102206736351,45.8447127947978,0.0229740328606322,4.45917134861719e-09,4.43682912191532e-09,"LC"
"102",102,"Acrocephalus scirpaceus","Temperate floodplain rivers and wetlands","Freshwater","Spain","Aves",12,37,-6.41667,6586,24,-75.7833166833214,0.03771228771229,53.4970829337646,0.0267484946570576,0.169453345156591,0.171402114470505,"LC"
"103",103,"Acrocephalus scirpaceus","Temperate coastal rivers","Freshwater","France","Aves",25,43.61667,4.46667,7417,46,92.2243019863875,-0.0462911515488265,16.3909741275826,0.00821425995979364,1.04691810160095e-06,1.01533743496952e-06,"LC"
"104",104,"Acrocephalus scirpaceus","Polar freshwaters","Freshwater","Sweden","Aves",7,62,15,1168,14,-500.727299862691,0.253716196047995,79.3537544184022,0.040209628038826,1.92262096495791e-05,1.92335420312217e-05,"LC"
"105",105,"Acrocephalus scirpaceus","Temperate coastal rivers","Freshwater","France","Aves",9,42.2125,9.01194,6674,18,-251.519480519472,0.126406926406922,69.6674322216647,0.0350527594821094,0.00200087716058962,0.00201919983536711,"LC"
"106",106,"Acrocephalus scirpaceus","Polar freshwaters","Freshwater","Sweden","Aves",23,62,15,1169,46,-139.98451345756,0.0705590062111814,10.1379866467176,0.00510341056976376,5.64405344048775e-18,5.37765571348208e-18,"LC"
"107",107,"Acrocephalus scirpaceus","Temperate floodplain rivers and wetlands","Freshwater","United Kingdom","Aves",7,51.16667,-2.86667,5186,14,-490.076039086151,0.244907789705476,35.9879277180835,0.0179894546927435,1.81572117965607e-09,1.82240569880966e-09,"LC"
"108",108,"Acrocephalus sechellensis","Tropical and subtropical moist broadleaf forests","Terrestrial","Seychelles","Aves",24,-4.31667,55.65,8745,15,-132.870044727651,0.0673212425709207,26.2683292705733,0.013247860946545,0.000141513248891837,0.000135244876008601,"NT"
"109",109,"Actitis hypoleucos","Temperate floodplain rivers and wetlands","Freshwater","Spain","Aves",9,38.142178,-1.100236,6484,7,-71.1354166666666,0.0354166666666667,141.014240174245,0.0705658464873496,0.629429388837022,0.631139566193158,"LC"
"110",110,"Actitis hypoleucos","Polar freshwaters","Freshwater","Norway","Aves",24,60.77944,11.08972,2479,18,54.0514928335168,-0.0274487320837926,24.9775506374827,0.0125688118614527,0.044156427992565,0.0424490736419708,"LC"
"111",111,"Actitis hypoleucos","Temperate coastal rivers","Freshwater","Morocco","Aves",17,30.21667,-9.61667,7049,16,-11.6457811194653,0.00551378446115284,56.1449053206167,0.0281921741407951,0.838296012977533,0.847402248726879,"LC"
"112",112,"Actitis hypoleucos","Temperate broadleaf and mixed forests","Terrestrial","Spain","Aves",30,40.71028,0.84417,7219,23,-125.983205204025,0.0629361324659981,19.7059480738499,0.00987658755629645,1.59494764618727e-06,1.67535963289216e-06,"LC"
"113",113,"Actitis hypoleucos","Temperate floodplain rivers and wetlands","Freshwater","Spain","Aves",23,39.79194,3.10056,6815,22,-60.6131549609817,0.0301003344481608,30.704738263352,0.0153484401141384,0.0610613939945999,0.0626430215383401,"LC"
"114",114,"Actitis hypoleucos","Temperate floodplain rivers and wetlands","Freshwater","Spain","Aves",7,41.26667,2.13333,6708,6,-205.346153846155,0.102564102564103,235.16436407325,0.117435310927282,0.416126903150588,0.416044257158101,"LC"
"115",115,"Actitis hypoleucos","Polar freshwaters","Freshwater","Norway","Aves",12,63.45,10.95,2478,11,-215.261492215955,0.10800996175263,57.2295561885231,0.0287152309745642,0.00314717384582778,0.00314691221656377,"LC"
