"","species"
"138","Antrostomus vociferus"
"139","Psetta maxima"
"140","Vermivora ruficapilla"
"141","Oncorhynchus nerka"
"142","Scyliorhinus retifer"
"143","Phrynorhombus norvegicus"
"144","Piranga olivacea"
"145","Elanoides forficatus"
"146","Dipturus laevis"
"147","Nycticorax nycticorax"
"148","Hippoglossus hippoglossus"
"149","Chondestes grammacus"
"150","Aix sponsa"
"151","Bucephala albeola"
"152","Progne subis"
"153","Spatula discors"
"154","Ammodramus nelsoni"
"155","Lophius piscatorius"
"156","Toxostoma longirostre"
"157","Vireo gilvus"
"158","Buteo swainsoni"
"159","Zoothera naevia"
"160","Larus delawarensis"
"161","Spizella breweri"
"162","Circus hudsonius"
"163","Tringa solitaria"
"164","Tyrannus couchii"
"165","Spatula cyanoptera"
"166","Loxia leucoptera"
"167","Archilochus colubris"
"168","Bucephala clangula"
"169","Pooecetes gramineus"
"170","Molva molva"
"171","Parula americana"
"172","Vermivora chrysoptera"
"173","Chordeiles minor"
"174","Athene cunicularia"
"175","Podiceps grisegena"
"176","Mareca americana"
"177","Chlidonias niger"
"178","Catharus bicknelli"
"179","Martes martes"
"180","Sterna forsteri"
"181","Scolopax minor"
"182","Passerina cyanea"
"183","Megaceryle alcyon"
"184","Recurvirostra americana"
"185","Tringa flavipes"
"186","Pristis pectinata"
"187","Coccyzus erythropthalmus"
"188","Microtus montanus"
"189","Coccothraustes vespertinus"
"190","Vireo solitarius"
"191","Eremophila alpestris"
"192","Coccyzus americanus"
"193","Centropristis striata"
"194","Calcarius pictus"
"195","Mareca penelope"
"196","Echiichthys vipera"
"197","Vireo huttoni"
"198","Dumetella carolinensis"
"199","Podiceps nigricollis"
"200","Aythya collaris"
"201","Bonasa umbellus"
"202","Melanerpes erythrocephalus"
"203","Oporornis agilis"
"204","Melanerpes lewis"
"205","Leuconotopicus villosus"
"206","Dendroica tigrina"
"207","Dryobates pubescens"
"208","Gallinula chloropus"
"209","Sardinops sagax"
"210","Arnoglossus laterna"
"211","Makaira nigricans"
"212","Cyanocorax yncas"
"213","Vulpes vulpes"
"214","Pinicola enucleator"
"215","Gallinula galeata"
"216","Ardea herodias"
"217","Numenius americanus"
"218","Bombycilla garrulus"
"219","Bartramia longicauda"
"220","Sphyrapicus varius"
"221","Archilochus alexandri"
"222","Napaeozapus insignis"
"223","Blarina brevicauda"
"224","Glaucomys sabrinus"
"225","Myodes rufocanus"
"226","Selasphorus calliope"
"227","Falco sparverius"
"228","Dolichonyx oryzivorus"
"229","Passer montanus"
"230","Nucifraga columbiana"
"231","Icterus bullockii"
"232","Parkesia motacilla"
"233","Melospiza georgiana"
"234","Sphyrapicus thyroideus"
"235","Sitta canadensis"
"236","Patagioenas fasciata"
"237","Aythya valisineria"
"238","Pipilo maculatus"
"239","Anhinga anhinga"
"240","Sturnella neglecta"
"241","Gavia immer"
"242","Cistothorus platensis"
"243","Leuconotopicus albolarvatus"
"244","Mniotilta varia"
"245","Glyptocephalus cynoglossus"
"246","Myodes gapperi"
"247","Erethizon dorsata"
"248","Sialia currucoides"
"249","Wilsonia pusilla"
"250","Anguilla rostrata"
"251","Platalea ajaja"
"252","Botaurus lentiginosus"
"253","Aythya americana"
"254","Piranga flava"
"255","Tympanuchus phasianellus"
"256","Regulus satrapa"
"257","Lynx lynx"
"258","Troglodytes aedon"
"259","Piranga ludoviciana"
"260","Mustela erminea"
"261","Helmitheros vermivorum"
"262","Nyctanassa violacea"
"263","Myoxocephalus octodecemspinosus"
"264","Leucoraja ocellata"
"265","Anas rubripes"
"266","Troglodytes troglodytes"
"267","Engraulis encrasicolus"
"268","Dendroica caerulescens"
"269","Sterna hirundo"
"270","Solea solea"
"271","Pyrocephalus rubinus"
"272","Leuconotopicus borealis"
"273","Tyrannus tyrannus"
"274","Mormyrus longirostris"
"275","Marcusenius macrolepidotus"
"276","Tilapia rendalli"
"277","Tamias striatus"
"278","Euphagus cyanocephalus"
"279","Bucephala islandica"
"280","Thunnus obesus"
"281","Contopus cooperi"
"282","Vireo vicinior"
"283","Mephitis mephitis"
"284","Chaetura pelagica"
"285","Calypte anna"
"286","Steganopus tricolor"
"287","Myadestes townsendi"
"288","Sitta pygmaea"
"289","Icterus cucullatus"
"290","Parus atricapillus"
"291","Kajikia albida"
"292","Urophycis chuss"
"293","Coregonus artedi"
"294","Callipepla californica"
"295","Rallus longirostris"
"296","Actitis macularius"
"297","Oxyura jamaicensis"
"298","Catharus fuscescens"
"299","Corvus corax"
"300","Dendroica dominica"
"301","Passerina amoena"
"302","Apodemus flavicollis"
"303","Perisoreus canadensis"
"304","Chaetura vauxi"
"305","Carpodacus cassinii"
"306","Sander vitreus"
"307","Dendroica fusca"
"308","Melozone aberti"
"309","Aythya affinis"
"310","Parkesia noveboracensis"
"311","Perca flavescens"
"312","Pheucticus melanocephalus"
"313","Stolothrissa tanganicae"
"314","Myodes glareolus"
"315","Melospiza lincolnii"
"316","Seiurus aurocapilla"
"317","Carcharodon carcharias"
"318","Rallus elegans"
"319","Prionace glauca"
"320","Baeolophus ridgwayi"
"321","Dendrocygna autumnalis"
"322","Pterocles namaqua"
"323","Schilbe mystus"
"324","Haematopus ostralegus"
"325","Argentina sphyraena"
"326","Sturnus vulgaris"
"327","Gavia arctica"
"328","Muscicapa striata"
"329","Corvus corone"
"330","Scolopax rusticola"
"331","Sylvia atricapilla"
"332","Sylvia borin"
"333","Stercorarius parasiticus"
"334","Contopus virens"
"335","Salmo trutta"
"336","Sorex araneus"
"337","Parabuteo unicinctus"
"338","Dendroica pensylvanica"
"339","Myodes rutilus"
"340","Myocastor coypus"
"341","Ictinia mississippiensis"
"342","Salmo salar"
"343","Dendroica castanea"
"344","Thunnus alalunga"
"345","Contopus sordidulus"
"346","Egretta tricolor"
"347","Cyanocitta stelleri"
"348","Buglossidium luteum"
"349","Platichthys flesus"
"350","Lophius americanus"
"351","Salpinctes obsoletus"
"352","Microtus californicus"
"353","Protonotaria citrea"
"354","Tyrannus verticalis"
"355","Hylocichla mustelina"
"356","Dryobates scalaris"
"357","Merluccius bilinearis"
"358","Dendroica virens"
"359","Mycteria americana"
"360","Somateria mollissima"
"361","Vireo cassinii"
"362","Microtus oeconomus"
"363","Sphyrapicus ruber"
"364","Bombycilla cedrorum"
"365","Myiarchus tyrannulus"
"366","Setophaga ruticilla"
"367","Egretta thula"
"368","Clarias gariepinus"
"369","Istiompax indica"
"370","Limanda ferruginea"
"371","Sphyrapicus nuchalis"
"372","Wilsonia citrina"
"373","Dryobates nuttallii"
"374","Columba livia"
"375","Pheucticus ludovicianus"
"376","Brosme brosme"
"377","Oporornis philadelphia"
"378","Dendroica striata"
"379","Dendroica magnolia"
"380","Psaltriparus minimus"
"381","Plectrophenax nivalis"
"382","Oporornis formosus"
"383","Microtus agrestis"
"384","Sargochromis codringtonii"
"385","Callionymus lyra"
"386","Mustela nivalis"
"387","Oncorhynchus gorbuscha"
"388","Aegithalos caudatus"
"389","Cuculus canorus"
"390","Phylloscopus trochilus"
"391","Picus viridis"
"392","Turdus viscivorus"
"393","Catharacta skua"
"394","Limosa fedoa"
"395","Spermophilus franklinii"
"396","Zonotrichia atricapilla"
"397","Empidonax virescens"
"398","Vermivora peregrina"
"399","Ammodramus bairdii"
"400","Selasphorus rufus"
"401","Colaptes auratus"
"402","Phainopepla nitens"
"403","Sitta pusilla"
"404","Arremonops rufivirgatus"
"405","Icterus parisorum"
"406","Carduelis pinus"
"407","Gelochelidon nilotica"
"408","Antrostomus carolinensis"
"409","Larus marinus"
"410","Carduelis psaltria"
"411","Vermivora virginiae"
"412","Larus californicus"
"413","Mustela frenata"
"414","Arvicola amphibius"
"415","Calcarius ornatus"
"416","Geothlypis trichas"
"417","Carduelis lawrencei"
"418","Empidonax difficilis"
"419","Passerina caerulea"
"420","Gallinago delicata"
"421","Pelecanus occidentalis"
"422","Selasphorus sasin"
"423","Pollachius virens"
"424","Bubo bubo"
"425","Emberiza schoeniclus"
"426","Parus montanus"
"427","Natator depressus"
"428","Certhia familiaris"
"429","Fringilla coelebs"
"430","Prunella modularis"
"431","Dendroica nigrescens"
"432","Melozone fuscus"
"433","Piranga rubra"
"434","Dendroica discolor"
"435","Egretta caerulea"
"436","Melanitta deglandi"
"437","Petrochelidon pyrrhonota"
"438","Thalasseus maximus"
"439","Brachyramphus marmoratus"
"440","Larus argentatus"
"441","Parus gambeli"
"442","Tachycineta bicolor"
"443","Empidonax hammondii"
"444","Lagopus lagopus"
"445","Oreochromis mortimeri"
"446","Trisopterus luscus"
"447","Eretmochelys imbricata"
"448","Ducula spilorrhoa"
"449","Carduelis tristis"
"450","Sorex cinereus"
"451","Stenella attenuata"
"452","Phylloscopus collybita"
"453","Phocoena phocoena"
"454","Passer domesticus"
"455","Dendroica coronata"
"456","Regulus calendula"
"457","Catharus guttatus"
"458","Gallinago gallinago"
"459","Aeronautes saxatalis"
"460","Catharus ustulatus"
"461","Vireo plumbeus"
"462","Empidonax minimus"
"463","Hippoglossoides platessoides"
"464","Corvus ossifragus"
"465","Colinus virginianus"
"466","Thryomanes bewickii"
"467","Tyrannus vociferans"
"468","Mallotus villosus"
"469","Sterna dougallii"
"470","Aphelocoma californica"
"471","Parus ater"
"472","Anthus spragueii"
"473","Selasphorus platycercus"
"474","Dendroica townsendi"
"475","Empidonax oberholseri"
"476","Vireo griseus"
"477","Tachycineta thalassina"
"478","Thunnus albacares"
"479","Brycinus imberi"
"480","Heterobranchus longifilis"
"481","Petromyzon marinus"
"482","Luscinia svecica"
"483","Dendroica petechia"
"484","Empidonax alnorum"
"485","Zonotrichia albicollis"
"486","Riparia riparia"
"487","Macrhybopsis storeriana"
"488","Myiarchus cinerascens"
"489","Passerculus sandwichensis"
"490","Ateles geoffroyi"
"491","Tetrao urogallus"
"492","Garrulus glandarius"
"493","Larus canus"
"494","Dendroica graciae"
"495","Spizella passerina"
"496","Parus carolinensis"
"497","Parus rufescens"
"498","Dendroica occidentalis"
"499","Melanerpes aurifrons"
"500","Agelaius phoeniceus"
"501","Capreolus capreolus"
"502","Panthera tigris"
"503","Lemmus lemmus"
"504","Oporornis tolmiei"
"505","Tamias minimus"
"506","Scomber scombrus"
"507","Turdus migratorius"
"508","Hirundo rustica"
"509","Eudromias morinellus"
"510","Vanellus vanellus"
"511","Turdus merula"
"512","Quiscalus quiscula"
"513","Vireo olivaceus"
"514","Vermivora luciae"
"515","Lepus timidus"
"516","Rissa tridactyla"
"517","Trisopterus minutus"
"518","Clupea pallasii"
"519","Ursus arctos"
"520","Ficedula albicollis"
"521","Anas fulvigula"
"522","Cardinalis sinuatus"
"523","Lamna nasus"
"524","Macronectes giganteus"
"525","Corvus brachyrhynchos"
"526","Melozone crissalis"
"527","Larus pipixcan"
"528","Xanthocephalus xanthocephalus"
"529","Gadus morhua"
"530","Tamiasciurus hudsonicus"
"531","Junco hyemalis"
"532","Auriparus flaviceps"
"533","Fratercula arctica"
"534","Melanerpes uropygialis"
"535","Theragra chalcogramma"
"536","Parus caeruleus"
"537","Hydrocynus vittatus"
"538","Pelecanus crispus"
"539","Carduelis flammea"
"540","Melanerpes formicivorus"
"541","Salvelinus namaycush"
"542","Rynchops niger"
"543","Ciconia ciconia"
"544","Columba oenas"
"545","Corvus monedula"
"546","Tringa nebularia"
"547","Columba palumbus"
"548","Calamospiza melanocorys"
"549","Brevoortia tyrannus"
"550","Vulpes lagopus"
"551","Uria aalge"
"552","Cygnus columbianus"
"553","Baeolophus inornatus"
"554","Pseudemydura umbrina"
"555","Canis lupus"
"556","Phalacrocorax pelagicus"
"557","Cypseloides niger"
"558","Peprilus triacanthus"
"559","Buteo buteo"
"560","Pica nuttalli"
"561","Calidris temminckii"
"562","Anguilla anguilla"
"563","Melanogrammus aeglefinus"
"564","Urophycis tenuis"
"565","Polysticta stelleri"
"566","Larus glaucescens"
"567","Mormyrops anguilloides"
"568","Rhinoceros sondaicus"
"569","Rupicapra rupicapra"
"570","Eudocimus albus"
"571","Milvus milvus"
"572","Oenanthe oenanthe"
"573","Phoca vitulina"
"574","Alosa pseudoharengus"
"575","Rhynchophanes mccownii"
"576","Dendrocygna bicolor"
"577","Ovibos moschatus"
"578","Clupea harengus"
"579","Turdus iliacus"
"580","Catharacta maccormicki"
"581","Dendrocopos major"
"582","Sternula antillarum"
"583","Lutjanus synagris"
"584","Gymnorhinus cyanocephalus"
"585","Plethodon cinereus"
"586","Corvus caurinus"
"587","Erithacus rubecula"
"588","Squalus acanthias"
"589","Acrocephalus sechellensis"
"590","Merlangius merlangus"
"591","Castor fiber"
"592","Coregonus autumnalis"
"593","Fringilla montifringilla"
"594","Diceros bicornis"
"595","Sitta europaea"
"596","Microtus arvalis"
"597","Fulmarus glacialoides"
"598","Anthus pratensis"
"599","Diomedea exulans"
"600","Larus occidentalis"
"601","Capra ibex"
"602","Pleuronectes platessa"
"603","Grus americana"
"604","Sprattus sprattus"
"605","Carpodacus erythrinus"
"606","Decapterus maruadsi"
"607","Gazella gazella"
"608","Aythya fuligula"
"609","Dermochelys coriacea"
"610","Botaurus stellaris"
"611","Larus atricilla"
"612","Motacilla alba"
"613","Coregonus lavaretus"
"614","Alectoris rufa"
"615","Aythya ferina"
"616","Netta rufina"
"617","Anser fabalis"
"618","Carduelis carduelis"
"619","Thalassarche bulleri"
"620","Parus major"
"621","Reinhardtius hippoglossoides"
"622","Aneides aeneus"
"623","Aythya marila"
"624","Corvus frugilegus"
"625","Pluvialis apricaria"
"626","Falco subbuteo"
"627","Aptenodytes patagonicus"
"628","Ardeola ralloides"
"629","Fulica atra"
"630","Lyrurus tetrix"
"631","Falco tinnunculus"
"632","Engraulis capensis"
"633","Phylloscopus sibilatrix"
"634","Strix aluco"
"635","Notothenia rossii"
"636","Alauda arvensis"
"637","Perca fluviatilis"
"638","Phalacrocorax aristotelis"
"639","Luscinia luscinia"
"640","Bison bonasus"
"641","Martes americana"
"642","Turdus philomelos"
"643","Oncorhynchus keta"
"644","Pyrrhula pyrrhula"
"645","Hippolais icterina"
"646","Thunnus thynnus"
"647","Parus palustris"
"648","Aegolius funereus"
"649","Carduelis cannabina"
"650","Anoplopoma fimbria"
"651","Tadorna ferruginea"
"652","Brevoortia patronus"
"653","Alca torda"
"654","Bison bison"
"655","Engraulis mordax"
"656","Thunnus maccoyii"
"657","Hippopotamyrus discorhynchus"
"658","Burhinus oedicnemus"
"659","Emberiza cirlus"
"660","Branta bernicla"
"661","Loxodonta africana"
"662","Caretta caretta"
"663","Sternula albifrons"
"664","Arctocephalus townsendi"
"665","Merluccius capensis"
"666","Alosa sapidissima"
"667","Sebastes norvegicus"
"668","Hippopotamus amphibius"
"669","Streptopelia turtur"
"670","Esox lucius"
"671","Gazella dorcas"
"672","Oncorhynchus tshawytscha"
"673","Delichon urbicum"
"674","Monachus monachus"
"675","Rana temporaria"
"676","Microcarbo pygmaeus"
"677","Anthus trivialis"
"678","Larus cachinnans"
"679","Plegadis chihi"
"680","Trachurus capensis"
"681","Anser brachyrhynchus"
"682","Fulmarus glacialis"
"683","Recurvirostra avosetta"
"684","Miliaria calandra"
"685","Schilbe intermedius"
"686","Emberiza citrinella"
"687","Lanius collurio"
"688","Otis tarda"
"689","Tragelaphus buxtoni"
"690","Podiceps cristatus"
"691","Branta ruficollis"
"692","Sylvia curruca"
"693","Alces alces"
"694","Sylvia communis"
"695","Uria lomvia"
"696","Myotis sodalis"
"697","Spheniscus mendiculus"
"698","Pleuronectes quadrituberculatus"
"699","Coilia dussumieri"
"700","Sterna paradisaea"
"701","Limanda aspera"
"702","Alces americanus"
"703","Egretta garzetta"
"704","Pygoscelis adeliae"
"705","Clangula hyemalis"
"706","Merluccius merluccius"
"707","Phoenicurus phoenicurus"
"708","Lepidochelys olivacea"
"709","Limanda proboscidea"
"710","Rutilus rutilus"
"711","Anser albifrons"
"712","Anser caerulescens"
"713","Motacilla flava"
"714","Acrocephalus scirpaceus"
"715","Chelonia mydas"
"716","Parophrys vetulus"
"717","Lepidochelys kempii"
"718","Branta leucopsis"
"719","Oncorhynchus kisutch"
"720","Harpadon nehereus"
"721","Aptenodytes forsteri"
"722","Raja rhina"
"723","Coregonus clupeaformis"
"724","Ficedula hypoleuca"
"725","Larus ridibundus"
"726","Eschrichtius robustus"
"727","Cervus elaphus"
"728","Sus scrofa"
"729","Ophiodon elongatus"
"730","Limanda sakhalinensis"
"731","Sebastolobus alascanus"
"732","Hippoglossus stenolepis"
"733","Sebastes alutus"
"734","Pagrus auratus"
"735","Arctocephalus pusillus"
"736","Alligator mississippiensis"
"737","Eumetopias jubatus"
"738","Physeter catodon"
"739","Acipenser stellatus"
"740","Engraulis ringens"
"741","Calidris minuta"
"742","Sebastes brevispinis"
"743","Limosa haemastica"
"744","Salamandra salamandra"
"745","Pagophilus groenlandicus"
"746","Streptopelia decaocto"
"747","Spiza americana"
"748","Petrochelidon fulva"
"749","Limnothlypis swainsonii"
"750","Phalaenoptilus nuttallii"
"751","Canis latrans"
"752","Elanus leucurus"
"753","Caracara cheriway"
"754","Catherpes mexicanus"
"755","Toxostoma crissale"
"756","Ammodramus maritimus"
"757","Sayornis nigricans"
"758","Geococcyx californianus"
"759","Columbina inca"
"760","Empidonax wrightii"
"761","Coragyps atratus"
"762","Macaca sylvanus"
"763","Charadrius montanus"
"764","Toxostoma lecontei"
"765","Peucaea aestivalis"
"766","Toxostoma bendirei"
"767","Calypte costae"
"768","Vireo bellii"
"769","Panthera leo"
"770","Aimophila ruficeps"
"771","Chordeiles acutipennis"
"772","Tympanuchus cupido"
"773","Toxostoma redivivum"
"774","Toxostoma curvirostre"
"775","Columbina passerina"
"776","Oreortyx pictus"
"777","Lepus americanus"
"778","Polioptila melanura"
"779","Molothrus aeneus"
"780","Raphicerus campestris"
"781","Spizella atrogularis"
"782","Centrocercus urophasianus"
"783","Redunca fulvorufula"
"784","Pipilo chlorurus"
"785","Corvus cryptoleucus"
"786","Phacochoerus aethiopicus"
"787","Acinonyx jubatus"
"788","Chamaea fasciata"
"789","Callipepla squamata"
"790","Passerina ciris"
"791","Campylorhynchus brunneicapillus"
"792","Callipepla gambelii"
"793","Syncerus caffer"
"794","Tyrannus forficatus"
"795","Quiscalus mexicanus"
"796","Zenaida asiatica"
"797","Oreoscoptes montanus"
"798","Amphispiza belli"
"799","Agelaius tricolor"
"800","Spermophilus tridecemlineatus"
"801","Tragelaphus scriptus"
"802","Amphispiza bilineata"
"803","Quiscalus major"
"804","Atrichornis clamosus"
"805","Peucaea cassinii"
"806","Lycaon pictus"
"807","Pan troglodytes"
"808","Branta sandvicensis"
"809","Eudorcas thomsonii"
"810","Alouatta seniculus"
"811","Hippotragus equinus"
"812","Aepyceros melampus"
"813","Redunca redunca"
"814","Taurotragus oryx"
"815","Damaliscus lunatus"
"816","Capra pyrenaica"
"817","Hippotragus niger"
"818","Nanger granti"
"819","Connochaetes taurinus"
"820","Equus burchellii"
"821","Phacochoerus africanus"
"822","Kobus ellipsiprymnus"
"823","Giraffa camelopardalis"
"824","Tragelaphus strepsiceros"
"825","Telespiza cantans"
"826","Eidolon helvum"
"827","Synaphobranchus kaupii"
"828","Chlorophthalmus agassizi"
"829","Boreogadus saida"
"830","Trachyrincus murrayi"
"831","Merluccius albidus"
"832","Myxine glutinosa"
"833","Notacanthus chemnitzii"
"834","Citharichthys arctifrons"
"835","Bathyraja spinicauda"
"836","Cottunculus microps"
"837","Lumpenus lampretaeformis"
"838","Centroscyllium fabricii"
"839","Aspidophoroides monopterygius"
"840","Myoxocephalus scorpius"
"841","Helicolenus dactylopterus"
"842","Artediellus uncinatus"
"843","Leptagonus decagonus"
"844","Gadus ogac"
"845","Ammodytes dubius"
"846","Hemitripterus americanus"
"847","Leucoraja erinacea"
"848","Malacoraja senta"
"849","Zoarces americanus"
"850","Phycis chesteri"
"851","Nezumia bairdii"
"852","Argentina silus"
"853","Ursus americanus"
"854","Pelecanus rufescens"
"855","Trisopterus esmarkii"
"856","Pollachius pollachius"
"857","Enchelyopus cimbrius"
"858","Isurus oxyrinchus"
"859","Scophthalmus rhombus"
"860","Pseudopleuronectes americanus"
"861","Entelurus aequoreus"
"862","Limosa lapponica"
"863","Phascolarctos cinereus"
"864","Dendroica kirtlandii"
"865","Anolis limifrons"
"866","Anolis apletophallus"
"867","Cololabis saira"
"868","Scomber japonicus"
"869","Atheresthes stomias"
"870","Sebastes paucispinis"
"871","Sebastes reedi"
"872","Spatula querquedula"
"873","Lullula arborea"
"874","Mergellus albellus"
"875","Ardea cinerea"
"876","Tringa totanus"
"877","Limosa limosa"
"878","Champsocephalus gunnari"
"879","Eudyptes moseleyi"
"880","Eubalaena australis"
"881","Merluccius gayi"
"882","Saiga tatarica"
"883","Kajikia audax"
"884","Hoplias malabaricus"
"885","Prochilodus brevis"
"886","Astronotus ocellatus"
"887","Plagioscion squamosissimus"
"888","Cichla ocellaris"
"889","Triglops murrayi"
"890","Xiphias gladius"
"891","Buteo lagopus"
"892","Falco rusticolus"
"893","Arenaria interpres"
"894","Calidris alba"
"895","Calidris alpina"
"896","Calidris canutus"
"897","Charadrius hiaticula"
"898","Pluvialis squatarola"
"899","Numenius arquata"
"900","Alcelaphus buselaphus"
"901","Ceratotherium simum"
"902","Gorilla beringei"
"903","Lemur catta"
"904","Ursus maritimus"
"905","Carcharhinus plumbeus"
"906","Carcharhinus limbatus"
"907","Carcharhinus leucas"
"908","Carcharhinus obscurus"
"909","Sphyrna lewini"
"910","Galeocerdo cuvier"
"911","Rhizoprionodon terraenovae"
"912","Pagrus pagrus"
"913","Trachurus trachurus"
"914","Amblyraja radiata"
"915","Anarhichas denticulatus"
"916","Anarhichas minor"
"917","Tringa brevipes"
"918","Calidris ruficollis"
"919","Rhinoceros unicornis"
"920","Rangifer tarandus"
"921","Peromyscus maniculatus"
"922","Catharus minimus"
"923","Pomoxis annularis"
"924","Cyprinodon diabolis"
"925","Alouatta palliata"
"926","Cebus capucinus"
"927","Cepphus columba"
"928","Gadus macrocephalus"
"929","Apodemus sylvaticus"
"930","Antigone vipio"
"931","Tadorna tadorna"
"932","Dicrostonyx vinogradovi"
"933","Lemmus portenkoi"
"934","Pygoscelis papua"
"935","Merluccius productus"
"936","Sander lucioperca"
"937","Orcinus orca"
"938","Protopterus aethiopicus"
"939","Kobus leche"
"940","Falco punctatus"
"941","Psittacula eques"
"942","Epinephelus itajara"
"943","Himantopus novaezelandiae"
"944","Coregonus hoyi"
"945","Phoenicopterus ruber"
"946","Amazona vittata"
"947","Fratercula cirrhata"
"948","Sorex caecutiens"
"949","Sorex daphaenodon"
"950","Sorex isodon"
"951","Sorex minutissimus"
"952","Sorex minutus"
"953","Sorex roboratus"
"954","Sorex tundrensis"
"955","Cinclus cinclus"
"956","Neomys fodiens"
"957","Charadrius alexandrinus"
"958","Tringa ochropus"
"959","Oriolus oriolus"
"960","Grus monacha"
"961","Tringa erythropus"
"962","Ardea purpurea"
"963","Larimichthys crocea"
"964","Protonibea diacanthus"
"965","Lutjanus bohar"
"966","Nemipterus virgatus"
"967","Lutjanus argentimaculatus"
"968","Pampus argenteus"
"969","Psenopsis anomala"
"970","Upeneus moluccensis"
"971","Platycephalus indicus"
"972","Oryctolagus cuniculus"
"973","Sylvicapra grimmia"
"974","Redunca arundinum"
"975","Beatragus hunteri"
"976","Aegypius monachus"
"977","Gyps fulvus"
"978","Alectoris chukar"
"979","Aquila adalberti"
"980","Macropus rufus"
"981","Macropus fuliginosus"
"982","Scyliorhinus canicula"
"983","Ammodytes marinus"
"984","Callionymus maculatus"
"985","Lepidorhombus whiffiagonis"
"986","Brachydeuterus auritus"
"987","Megaptera novaeangliae"
"988","Tadorna tadornoides"
"989","Calidris ferruginea"
"990","Numenius madagascariensis"
"991","Larus novaehollandiae"
"992","Larus pacificus"
"993","Pelecanus conspicillatus"
"994","Microcarbo melanoleucos"
"995","Crocodylus porosus"
"996","Panthera pardus"
"997","Hyaena hyaena"
"998","Platanista minor"
"999","Aerodramus maximus"
"1000","Anthus rubescens"
